artist_familiarity,artist_hotttnesss,artist_id,artist_latitude,artist_longitude,artist_name,artist_terms,artist_terms_freq,release_id,song_id
581793766,401997543,ARD7TVE1187B99BFB1,0,0,Casual,hip hop,1,300848,SOMZWCG12A8C13C480
630630038,417499645,ARMJAGH1187FB546F3,35.14968,-90.04892,The Box Tops,blue-eyed soul,1,300822,SOCIWDW12A8C13D406
487356791,343428378,ARKRRTF1187B9984DA,0,0,Sonora Santanera,salsa,1,514953,SOXVLOJ12AB0189215
630382334,454231157,AR7G5I41187FB4CE6C,0,0,Adam Ant,pop rock,0.988583863,287650,SONHOTT12A8C13493C
651045661,401723686,ARXR32B1187FB57099,0,0,Gob,pop punk,0.887288301,611336,SOFSOCN12A8C143F5D
535292736,385470551,ARKFYS91187B98E58F,0,0,Jeff And Sheri Easter,southern gospel,1,41838,SOYMRWW12A6D4FAB14
556495602,261941177,ARD0S291187B9B7BF5,0,0,Rated R,breakbeat,1,25824,SOMJBYD12A6D4F8557
801136447,605507136,AR10USD1187B99F3F1,0,0,Tweeterfriendly Music,post-hardcore,0.999818045,8876,SOHKNRJ12A6701D1F8
426667857,332275747,AR8ZCNI1187B9A069B,0,0,Planet P Project,new wave,0.959766246,358182,SOIAZJW12AB01853F1
550513698,422705641,ARNTLGG11E2835DDB9,0,0,Clp,breakcore,0.915601748,692313,SOUDSGM12AC9618304
360031167,296268954,ARGSJW91187B9B1D6B,35.21962,-80.01955,JennyAnyKind,alternative rock,0.956080751,539081,SOQHXMF12AB0182363
545159296,351555861,ARC43071187B990240,0,0,Wayne Watson,ccm,1,163874,SOKEJEJ12A8C13E0D0
577508974,37948217,ARL7K851187B99ACD2,0,0,Andy Andy,bachata,1,575792,SOMUYGI12AB0188633
85512047,251936525,ARHHO3O1187B989413,0,0,Bob Azzam,chanson,0.977114901,815863,SORAMLE12AB017C8B0
776675856,553071992,ARIK43K1187B9AE54C,0,0,Lionel Richie,quiet storm,1,25811,SOBONFF12A6D4F84D8
636423645,447935481,ARD842G1187B997376,43.64856,-79.38533,Blue Rodeo,country rock,1,135122,SOHUOAP12A8AE488E9
419943148,330806357,ARIG6O41187B988BDD,37.16793,-95.84502,Richard Souther,chill-out,0.830058031,149958,SOUQQEA12A8C134B1B
363280571,306676094,AR1ZHYZ1187FB3C717,0,0,Faiz Ali Faiz,qawwali,1,535188,SOILPQQ12AB017E82A
707199764,51346329,ARYKCQI1187FB3B18F,0,0,Tesla,hard rock,1,372309,SOXLBJT12A8C140925
32031437,0,ARNPAGP1241B9C7FD4,0,0,lextrical,indietronica,1,541101,SOZVMJI12AB01808AF
39413854,291539727,ARQGYP71187FB44566,34.31109,-94.02978,Jimmy Wakely,classic country,1,605134,SOWTBJW12AC468AC6E
489816269,328553015,ARI3BMM1187FB4255E,38.8991,-77.029,Alice Stuart,electric blues,0.905093008,239740,SOBEBDG12A58A76D60
677420465,378254686,AR5KOSW1187FB35FF4,49.80388,15.47491,Elena,uk garage,0.935319892,386995,SOZCTXZ12AB0182364
839962768,541888972,ARMAC4T1187FB3FA4C,40.82624,-74.47995,The Dillinger Escape Plan,math-core,0.944381208,223365,SOBBUGU12A8C13E95D
435415818,306242264,AR47JEX1187B995D81,37.83721,-94.35868,SUE THOMPSON,pop rock,0.979853486,652784,SOBLGCN12AB0183212
